city,admin_name
Guangzhou,Guangdong
Shanghai,Shanghai
Beijing,Beijing
Shenzhen,Guangdong
Chengdu,Sichuan
Xi’an,Shaanxi
Chongqing,Chongqing
Baoding,Hebei
Linyi,Shandong
Dongguan,Guangdong
Tianjin,Tianjin
Wuhan,Hubei
Nanyang,Henan
Hangzhou,Zhejiang
Foshan,Guangdong
Tongshan,Jiangsu
Zhoukou,Henan
Ganzhou,Jiangxi
Heze,Shandong
Quanzhou,Fujian
Nanjing,Jiangsu
Jining,Shandong
Fuyang,Anhui
Shenyang,Liaoning
Shangqiu,Henan
Cangzhou,Hebei
Xingtai,Hebei
Zhumadian,Henan
Zhanjiang,Guangdong
Bijie,Guizhou
Yancheng,Jiangsu
Hengyang,Hunan
Zunyi,Guizhou
Shaoyang,Hunan
Shangrao,Jiangxi
Xinyang,Henan
Maoming,Guangdong
Jieyang,Guangdong
Liaocheng,Shandong
Huanggang,Hubei
Dalian,Liaoning
Qingdao,Shandong
Yulin,Guangxi
Qujing,Yunnan
Nangandao,Henan
Pudong,Shanghai
Zhengzhou,Henan
Dezhou,Shandong
Nanchong,Sichuan
Jinan,Shandong
Tai’an,Shandong
Langfang,Hebei
Dazhou,Sichuan
Suzhou,Anhui
Yongzhou,Hunan
Changde,Hunan
Xiangyang,Hubei
Zhaotong,Yunnan
Zhangzhou,Fujian
Yichun,Jiangxi
Bozhou,Anhui
Suqian,Jiangsu
Ji’an,Jiangxi
Guilin,Guangxi
Pingdingshan,Henan
Mianyang,Sichuan
Huanglongsi,Henan
Yuncheng,Shanxi
Changsha,Hunan
Weinan,Shaanxi
Chenzhou,Hunan
Jiangmen,Guangdong
Jiujiang,Jiangxi
Xinpu,Jiangsu
Yibin,Sichuan
Huaihua,Hunan
Yangzhou,Jiangsu
Taizhou,Jiangsu
Kunming,Yunnan
Yiyang,Hunan
Changchun,Jilin
Lu’an,Anhui
Jiangguanchi,Henan
Meizhou,Guangdong
Ürümqi,Xinjiang
Suzhou,Jiangsu
Guigang,Guangxi
Shantou,Guangdong
Xiaoganzhan,Hubei
Luzhou,Sichuan
Hefei,Anhui
Hengshui,Hebei
Anqing,Anhui
Liuzhou,Guangxi
Zhangjiakou,Hebei
Zhaoqing,Guangdong
Shijiazhuang,Hebei
Ningbo,Zhejiang
Qiqihar,Heilongjiang
Fuzhou,Jiangxi
Chifeng,Inner Mongolia
Xiaoxita,Hubei
Chuzhou,Anhui
Linfen,Shanxi
Qingyuan,Guangdong
Xianyang,Shaanxi
Loudi,Hunan
Binzhou,Shandong
Zhuzhou,Hunan
Taiyuan,Shanxi
Nanning,Guangxi
Harbin,Heilongjiang
Suihua,Heilongjiang
Zaozhuang,Shandong
Xiamen,Fujian
Neijiang,Sichuan
Fuzhou,Fujian
Baicheng,Guangxi
Wuhu,Anhui
Yulinshi,Shaanxi
Wenzhou,Zhejiang
Changzhou,Jiangsu
Puyang,Henan
Jiaozuo,Henan
Nanchang,Jiangxi
Deyang,Sichuan
Hohhot,Inner Mongolia
Hechi,Guangxi
Tangshan,Hebei
Shiyan,Hubei
Anshan,Liaoning
Baojishi,Shaanxi
Qinzhou,Guangxi
Guiyang,Guizhou
Bengbu,Anhui
Bazhou,Sichuan
Suining,Sichuan
Wuxi,Jiangsu
Hanzhong,Shaanxi
Putian,Fujian
Zhenjiang,Jiangsu
Guang’an,Sichuan
Changzhi,Shanxi
Tongren,Guizhou
Leshan,Sichuan
Qinhuangdao,Hebei
Xinzhou,Shanxi
Lanzhou,Gansu
Wuzhou,Guangxi
Huainan,Anhui
Qincheng,Gansu
Rizhao,Shandong
Meishan,Sichuan
Ningde,Fujian
Zhongshan,Guangdong
Weihai,Shandong
Haikou,Hainan
Tongliao,Inner Mongolia
Chaoyang,Liaoning
Shaoguan,Guangdong
Heyuan,Guangdong
Daqing,Heilongjiang
Xiangtan,Hunan
Longyan,Fujian
Baotou,Inner Mongolia
Handan,Hebei
Jinzhou,Liaoning
Nanping,Fujian
Shanwei,Guangdong
Chaozhou,Guangdong
Weifang,Shandong
Huai’an,Jiangsu
Zibo,Shandong
Ankang,Shaanxi
Gulou,Fujian
Sanming,Fujian
Yangjiang,Guangdong
Jiamusi,Heilongjiang
Luohe,Henan
Dingxi,Gansu
Shaoxing,Zhejiang
Yantai,Shandong
Huizhou,Guangdong
Lishui,Zhejiang
Xuanzhou,Anhui
Zigong,Sichuan
Guangyuan,Sichuan
Huangshi,Hubei
Xining,Qinghai
Zhuhai,Guangdong
Huludao,Liaoning
Baoshan,Yunnan
Lianshan,Liaoning
Longba,Gansu
Jilin,Jilin
Tieling,Liaoning
Yunfu,Guangdong
Luoyang,Henan
Anshun,Guizhou
Yingkou,Liaoning
Yanjiang,Sichuan
Mudanjiang,Heilongjiang
Yan’an,Shaanxi
Jincheng,Shanxi
Nantong,Jiangsu
Lincang,Yunnan
Yuxi,Yunnan
Laibin,Guangxi
